SN,mjd obs,flux (mJy),mjd exp date,dt (days),dt (years),redshift,Luminosity,classification,status,type
PTF11qcj,55880.538,0.421,55866,14.538,0.03983013699,0.028,8.09E+27,Archival Ibc,real,Ic-BL
PTF11qcj,55887.508,0.619,55866,21.508,0.0589260274,0.028,1.19E+28,Archival Ibc,real,Ic-BL
PTF11qcj,55892.67,0.936,55866,26.67,0.07306849315,0.028,1.80E+28,Archival Ibc,real,Ic-BL
PTF11qcj,55894.635,1.46,55866,28.635,0.07845205479,0.028,2.80E+28,Archival Ibc,real,Ic-BL
PTF11qcj,55897.511,1.566,55866,31.511,0.08633150685,0.028,3.01E+28,Archival Ibc,real,Ic-BL
PTF11qcj,55902.518,2.6,55866,36.518,0.1000493151,0.028,4.99E+28,Archival Ibc,real,Ic-BL
PTF11qcj,55910.476,2.24,55866,44.476,0.1218520548,0.028,4.30E+28,Archival Ibc,real,Ic-BL
PTF11qcj,55916.558,2.31,55866,50.558,0.1385150685,0.028,4.44E+28,Archival Ibc,real,Ic-BL
PTF11qcj,55926.572,2.09,55866,60.572,0.1659506849,0.028,4.01E+28,Archival Ibc,real,Ic-BL
PTF11qcj,55927.555,2.51,55866,61.555,0.1686438356,0.028,4.82E+28,Archival Ibc,real,Ic-BL
PTF11qcj,55949.598,3.86,55866,83.598,0.2290356164,0.028,7.41E+28,Archival Ibc,real,Ic-BL
PTF11qcj,55950.363,2.03,55866,84.363,0.2311315068,0.028,3.90E+28,Archival Ibc,real,Ic-BL
PTF11qcj,55967.439,3.04,55866,101.439,0.2779150685,0.028,5.84E+28,Archival Ibc,real,Ic-BL
PTF11qcj,55987.428,2.51,55866,121.428,0.3326794521,0.028,4.82E+28,Archival Ibc,real,Ic-BL
PTF11qcj,55988.283,3.47,55866,122.283,0.3350219178,0.028,6.66E+28,Archival Ibc,real,Ic-BL
PTF11qcj,55997.46,2.47,55866,131.46,0.3601643836,0.028,4.74E+28,Archival Ibc,real,Ic-BL
PTF11qcj,56011.553,3.03,55866,145.553,0.3987753425,0.028,5.82E+28,Archival Ibc,real,Ic-BL
PTF11qcj,56027.091,2.34,55866,161.091,0.4413452055,0.028,4.49E+28,Archival Ibc,real,Ic-BL
PTF11qcj,56035.092,2.67,55866,169.092,0.4632657534,0.028,5.13E+28,Archival Ibc,real,Ic-BL
PTF11qcj,56044.421,3.05,55866,178.421,0.4888246575,0.028,5.86E+28,Archival Ibc,real,Ic-BL
PTF11qcj,56057.428,2.73,55866,191.428,0.524460274,0.028,5.24E+28,Archival Ibc,real,Ic-BL
PTF11qcj,56101.224,3.2,55866,235.224,0.6444493151,0.028,6.15E+28,Archival Ibc,real,Ic-BL
PTF11qcj,56155.076,1.697,55866,289.076,0.7919890411,0.028,3.26E+28,Archival Ibc,real,Ic-BL
PTF11qcj,56223.561,2.23,55866,357.561,0.9796191781,0.028,4.28E+28,Archival Ibc,real,Ic-BL
PTF11qcj,56429.038,5.77,55866,563.038,1.542569863,0.028,1.11E+29,Archival Ibc,real,Ic-BL
PTF11qcj,56809.993,7.55,55866,943.993,2.586282192,0.028,1.45E+29,Archival Ibc,real,Ic-BL
PTF11qcj,56948.91,9,55866,1082.91,2.966876712,0.028,1.73E+29,Archival Ibc,real,Ic-BL
PTF11qcj,57006.658,8.71,55866,1140.658,3.125090411,0.028,1.67E+29,Archival Ibc,real,Ic-BL
PTF11qcj,57046.262,9.25,55866,1180.262,3.233594521,0.028,1.78E+29,Archival Ibc,real,Ic-BL
PTF11qcj,57354.492,9.54,55866,1488.492,4.078060274,0.028,1.83E+29,Archival Ibc,real,Ic-BL
PTF11qcj,57729.458,9.46,55866,1863.458,5.105364384,0.028,1.82E+29,Archival Ibc,real,Ic-BL
PTF11qcj,58553,6.8,55866,2687,7.361643836,0.0287,1.12E+29,VLASS Ibc,real,Ic-BL
PTF11qcj,59540,3.18,55866,3674,10.06575342,0.0287,6.61E+28,VLASS Ibc,real,Ic-BL
PTF11qcj,60490,1.618,55866,4624,12.66849315,0.0287,3.36E+28,VLASS Ibc,real,Ic-BL
SN2012au,56006.2,4.596,56000,6.2,0.01698630137,0.0045,2.20E+27,Archival Ibc,real,Ib
SN2012au,56010.3,5.658,56000,10.3,0.02821917808,0.0045,2.71E+27,Archival Ibc,real,Ib
SN2012au,56040.1,9.569,56000,40.1,0.1098630137,0.0045,4.58E+27,Archival Ibc,real,Ib
SN2012au,58553.0,4.228,56000,2553.0,6.994520548,0.0045,2.0250453091236532e+27,VLASS Ibc,real,Ib
SN2012au,59593.0,4.337,56000,3593.0,9.843835616,0.0045,2.0772520117477023e+27,VLASS Ibc,real,Ib
SN2012au,60501.10163,4.448,56000,4501.10163,12.33178529,0.0045,2.1304166355208166e+27,VLASS Ibc,real,Ib
SN2016coi,57542,1.15,57535.54,6.46,0.01769863014,0.0036,3.52E+26,Archival Ibc,real,Ic-BL
SN2016coi,57552,4.8,57535.54,16.46,0.04509589041,0.0036,1.47E+27,Archival Ibc,real,Ic-BL
SN2016coi,57577,12.9,57535.54,41.46,0.1135890411,0.0036,3.95E+27,Archival Ibc,real,Ic-BL
SN2016coi,57638,13.5,57535.54,102.46,0.2807123288,0.0036,4.13E+27,Archival Ibc,real,Ic-BL
SN2016coi,57801,6.2,57535.54,265.46,0.7272876712,0.0036,1.90E+27,Archival Ibc,real,Ic-BL
SN2016coi,59049,1.8,57535.54,1513.46,4.146465753,0.0036,4.70E+26,VLASS Ibc,real,Ic-BL
SN2016coi,59520.18198,0.43,57535.54,1984.641984,5.4373753,0.0036,1.32E+26,VLASS Ibc,real,Ic-BL
SN2016coi,60501.47452,0.74,57535.54,2965.934521,8.125848002,0.0036,2.27E+26,VLASS Ibc,real,Ic-BL
1998bw,50934,9,50931,3,0.008219178082,0.008499,1.55E+28,Archival Ibc,real,Ic
1998bw,50935,9.9,50931,4,0.01095890411,0.008499,1.70E+28,Archival Ibc,real,Ic
1998bw,50940.9,39,50931,9.9,0.02712328767,0.008499,6.70E+28,Archival Ibc,real,Ic
1998bw,50942.7,44.6,50931,11.7,0.03205479452,0.008499,7.67E+28,Archival Ibc,real,Ic
1998bw,50945.6,39.9,50931,14.6,0.04,0.008499,6.86E+28,Archival Ibc,real,Ic
1998bw,50946.7,37.4,50931,15.7,0.04301369863,0.008499,6.43E+28,Archival Ibc,real,Ic
1998bw,50947.5,37.1,50931,16.5,0.04520547945,0.008499,6.38E+28,Archival Ibc,real,Ic
1998bw,50948.8,32.6,50931,17.8,0.04876712329,0.008499,5.60E+28,Archival Ibc,real,Ic
1998bw,50950.7,28.6,50931,19.7,0.05397260274,0.008499,4.92E+28,Archival Ibc,real,Ic
