Name,Obsmjd,Flux,Type,Distance (Mpc),ExpMJD,dt,L_nu,status,classification
SN2008bo,54583,0.224,IIb,19.1,54552,31,9.78E+25,real,
SN2008bo,54583,0.436,IIb,19.1,54552,31,1.90E+26,real,
SN2008bo,54587,0.318,IIb,19.1,54552,35,1.39E+26,real,
SN2008bo,54587,0.183,IIb,19.1,54552,35,7.99E+25,real,
SN2008bo,54587,0.395,IIb,19.1,54552,35,1.72E+26,real,
SN2008bo,54595,0.138,IIb,19.1,54552,43,6.02E+25,real,
SN2008bo,54595,0.365,IIb,19.1,54552,43,1.59E+26,real,
SN2008bo,54601,0.275,IIb,19.1,54552,49,1.20E+26,real,
SN2008bo,54610,0.156,IIb,19.1,54552,58,6.81E+25,real,
SN2009dd,54937,0.114,II,13.9,54933,4,2.64E+25,real,
SN2009dd,54952,0.126,II,13.9,54933,19,2.91E+25,real,
SN2009dd,54958,0.06,II,13.9,54933,25,1.39E+25,real,
SN2010as,55302,2.19,IIb,27.4,55271,31,1.97E+27,real,
SN2010as,55311,3.1,IIb,27.4,55271,40,2.78E+27,real,
SN2010as,55316,1.7,IIb,27.4,55271,45,1.53E+27,real,
SN2010as,55333,1.69,IIb,27.4,55271,62,1.52E+27,real,
SN2010as,55375,2.38,IIb,27.4,55271,104,2.14E+27,real,
SN2010as,55412,2.27,IIb,27.4,55271,141,2.04E+27,real,
SN2010as,55443,2,IIb,27.4,55271,172,1.80E+27,real,
SN2010as,55492,1.9,IIb,27.4,55271,221,1.71E+27,real,
