name,visual_obs_date,name_epoch,vlass_obs_date,epoch,flux,rms,days_diff,type,redshift,detection_type,luminosity_cgs,grb_luminosity_cgs,time_years
ZTF18acbwxcc,58413.519,ZTF18acbwxcc_VLASS2.1,59091.0,VLASS2.1,0.316,0.144,677.4809999999998,SN Ic-BL,0.0362,upper_limit,1.026737046625058e+28,4.729741751673389e+26,1.8561123287671226
ZTF18acbwxcc,58413.519,ZTF18acbwxcc_VLASS3.1,59986.0,VLASS3.1,0.335,0.141,1572.4809999999998,SN Ic-BL,0.0362,upper_limit,1.0884712361373242e+28,1.9607034705091222e+27,4.308167123287671
ZTF18acbzoyh,58413.929,ZTF18acbzoyh_VLASS1.2v2,58588.0,VLASS1.2v,0.299,0.118,174.07099999999627,SN IIb,0.05,upper_limit,1.8905444564901675e+28,4.213685091253717e+25,0.4769068493150583
ZTF18acbzoyh,58413.929,ZTF18acbzoyh_VLASS2.2,59532.0,VLASS2.2,0.21,0.098,1118.0709999999965,SN IIb,0.05,upper_limit,1.3278071433542982e+28,1.1063280071107422e+27,3.0632082191780725
ZTF18acbzvpg,58430.909,ZTF18acbzvpg_VLASS1.2v2,58607.0,VLASS1.2v,0.331,0.147,176.09100000000035,SN IIb,0.026,upper_limit,5.465683500007593e+27,4.306886376088474e+25,0.4824410958904119
ZTF18acbzvpg,58430.909,ZTF18acbzvpg_VLASS2.2,59554.0,VLASS2.2,0.374,0.129,1123.0910000000003,SN IIb,0.026,upper_limit,6.175726975839394e+27,1.1143015934875923e+27,3.0769616438356175
ZTF18accaqrr,58419.559,ZTF18accaqrr_VLASS2.1,59072.0,VLASS2.1,0.348,0.145,652.4409999999989,SN Ib,0.044,upper_limit,1.6894043094077428e+28,4.426438644577896e+26,1.7875095890410928
ZTF18accaqrr,58419.559,ZTF18accaqrr_VLASS3.1,59999.0,VLASS3.1,0.333,0.135,1579.440999999999,SN Ib,0.044,upper_limit,1.6165851581401679e+28,1.9758579152714782e+27,4.327235616438353
ZTF18acceaem,58421.509,ZTF18acceaem_VLASS2.1,59146.0,VLASS2.1,0.353,0.149,724.4910000000018,SN Ib/c,0.028,upper_limit,6.780158955984092e+27,5.3026131764303174e+26,1.9849068493150734
ZTF18acceaem,58421.509,ZTF18acceaem_VLASS3.1,60103.0,VLASS3.1,0.341,0.118,1681.4910000000018,SN Ib/c,0.028,upper_limit,6.549671965978969e+27,2.152601993129499e+27,4.6068246575342515
