name,visual_obs_date,name_epoch,vlass_obs_date,epoch,flux,rms,days_diff,type,redshift,detection_type,luminosity_cgs,grb_luminosity_cgs,time_years
ZTF18abcfdzu,58340.559,ZTF18abcfdzu_VLASS3.1,59984.0,VLASS3.1,0.336,0.11,1643.440999999999,SN IIP,0.125,upper_limit,1.4692273744940528e+29,1.1554064517975338e+28,4.502578082191778
ZTF18abckutn,58289.719,ZTF18abckutn_VLASS2.1,59063.0,VLASS2.1,0.644,0.194,773.2810000000027,SN IIP,0.0401,upper_limit,2.582162836776251e+28,5.933207094902034e+27,2.1185780821917883
ZTF18abckutn,58289.719,ZTF18abckutn_VLASS3.1,59984.0,VLASS3.1,0.342,0.117,1694.281000000003,SN IIP,0.0401,upper_limit,1.371272810834593e+28,1.1962535426124343e+28,4.641865753424666
ZTF18abcptmt,58292.709,ZTF18abcptmt_VLASS2.1,59072.0,VLASS2.1,0.379,0.134,779.2909999999974,SN II,0.05,upper_limit,2.3963757491965666e+28,5.963615305978239e+27,2.135043835616431
ZTF18abcptmt,58292.709,ZTF18abcptmt_VLASS3.1,59999.0,VLASS3.1,0.315,0.118,1706.2909999999974,SN II,0.05,upper_limit,1.991710715031447e+28,1.2039655982997297e+28,4.674769863013692
ZTF18abcyues,58284.689,ZTF18abcyues_VLASS2.1,59045.0,VLASS2.1,0.335,0.157,760.3110000000015,SN II,0.03763,upper_limit,1.1786088250654416e+28,5.882165356407073e+27,2.0830438356164427
ZTF18abcyues,58284.689,ZTF18abcyues_VLASS3.1,59960.0,VLASS3.1,0.446,0.182,1675.3110000000015,SN II,0.03763,upper_limit,1.5691329432214535e+28,1.184062151020117e+28,4.589893150684936
ZTF18abdjmfh,58296.569,ZTF18abdjmfh_VLASS2.1,59096.0,VLASS2.1,0.289,0.126,799.4309999999969,SN IIP,0.03,upper_limit,6.390943871597368e+27,6.066798048835028e+27,2.1902219178082105
ZTF18abeajml,58304.629,ZTF18abeajml_VLASS2.1,59098.0,VLASS2.1,0.477,0.115,793.3709999999992,SN II,0.03651,detection,1.5772212909427138e+28,6.034544396602514e+27,2.1736191780821894
ZTF18abeajml,58304.629,ZTF18abeajml_VLASS3.1,59987.0,VLASS3.1,0.365,0.136,1682.3709999999992,SN II,0.03651,upper_limit,1.2068884092119297e+28,1.188600827434595e+28,4.609235616438354
