SN,mjd obs,flux (mJy),mjd exp date,dt (days),dt (years),redshift,Luminosity,classification,status
SN2019yvs,60471,0.894,58845.55899,1625.44101,4.453263041,0.0255,1.42E+28,new_VLASS,real
SN2019yvs,60828.05281,0.713,58845.55899,1982.49382,5.431489918,0.0255,1.13E+28,new_VLASS,real
SN2020aqe,58157,0.411,58871.575,-714.575,-1.957739726,0.01225,1.48E+27,new_VLASS,real
SN2020aqe,59154,1.946,58871.575,282.425,0.7737671233,0.01225,6.99E+27,new_VLASS,real
SN2020aqe,60098,0.648,58871.575,1226.425,3.360068493,0.01225,2.33E+27,new_VLASS,real
SN2020aqe,60827.03267,2.614,58871.575,1955.45767,5.357418274,0.01225,9.39E+27,new_VLASS,upper
SN2020ywx,58121,0.314,59157.62,-1036.62,-2.840054795,0.0217,3.59E+27,new_VLASS,real
SN2020ywx,59051,0.359,59157.62,-106.62,-0.292109589,0.0217,4.10E+27,new_VLASS,real
SN2020ywx,59969,2.923,59157.62,811.38,2.222958904,0.0217,3.34E+28,new_VLASS,real
SN2020ywx,60839.16554,1.521,59157.62,1681.54554,4.606974082,0.0217,1.74E+28,new_VLASS,real
SN2021aefs,58157,0.511,59527.272,-1370.272,-3.754169863,0.01225,1.84E+27,new_VLASS,real
SN2021aefs,59154,1.946,59527.272,-373.272,-1.022663014,0.01225,6.99E+27,new_VLASS,real
SN2021aefs,60098,0.648,59527.272,570.728,1.563638356,0.01225,2.33E+27,new_VLASS,real
SN2021aefs,60828.01716,3.78,59527.272,1300.74516,3.56368537,0.01225,1.36E+28,new_VLASS,upper
SN2021bmf,58651,0.284,59244.613,-593.613,-1.626336986,0.04,1.13E+28,new_VLASS,real
SN2021bmf,59483,5.57,59244.613,238.387,0.6531150685,0.04,2.22E+29,new_VLASS,real
SN2021bmf,60479,9.036,59244.613,1234.387,3.381882192,0.04,3.60E+29,new_VLASS,real
SN2021bmf,60825.39025,7.343,59244.613,1580.77725,4.330896575,0.04,2.93E+29,new_VLASS,real
SN2021tcv,58587,0.343,59406.596,-819.596,-2.245468493,0.017,2.39E+27,new_VLASS,real
SN2021tcv,59511,0.498,59406.596,104.404,0.2860383562,0.017,3.47E+27,new_VLASS,real
SN2021tcv,60455,1.213,59406.596,1048.404,2.872339726,0.017,8.45E+27,new_VLASS,real
SN2021tcv,60831.59135,1.59,59406.596,1424.99535,3.904096849,0.017,1.11E+28,new_VLASS,real
SN2022cb,58122,0.268,59584.822,-1462.822,-4.007731507,0.035,8.13E+27,new_VLASS,real
SN2022cb,59063,0.568,59584.822,-521.822,-1.429649315,0.035,1.72E+28,new_VLASS,real
SN2022cb,59975,0.954,59584.822,390.178,1.068980822,0.035,2.89E+28,new_VLASS,real
SN2022cb,60847.77258,0.888,59584.822,1262.950577,3.460138567,0.035,2.69E+28,new_VLASS,real
SN2023rky,58608,0.391,60193.336,-1585.336,-4.343386301,0.01519,2.17E+27,new_VLASS,real
SN2023rky,59525,0.286,60193.336,-668.336,-1.831057534,0.01519,1.59E+27,new_VLASS,real
SN2023rky,60489,0.667,60193.336,295.664,0.8100383562,0.01519,3.70E+27,new_VLASS,real
SN2023rky,60848.41062,0.333,60193.336,655.0746215,1.79472499,0.01519,1.85E+27,new_VLASS,real
SN2024ehs,58157,0.309,60384.47002,-2227.47002,-6.102657589,0.00377,1.04E+26,new_VLASS,real
SN2024ehs,59535,0.333,60384.47002,-849.47002,-2.327315123,0.00377,1.12E+26,new_VLASS,real
SN2024ehs,60431,0.997,60384.47002,46.52998,0.1274793973,0.00377,3.35E+26,new_VLASS,real
SN2024ehs,60840.17381,0.102,60384.47002,455.70379,1.248503534,0.00377,3.43E+25,new_VLASS,real
SN1985F,46142,0.189,Ib/c,45789,0.9671232877,353,1.17E+25,old_poor,real
SN1985F,46277,0.33,Ib/c,45789,1.336986301,488,2.05E+25,old_poor,real
SN1994I,49495,9.81,Ic,49442,0.1452054795,53,7.33E+26,old_poor,real
SN1994I,49504,7.15,Ic,49442,0.1698630137,62,5.34E+26,old_poor,real
