name,visual_obs_date,name_epoch,vlass_obs_date,epoch,flux,rms,days_diff,type,redshift,detection_type,luminosity_cgs,model_luminosity_cgs,time_years
ZTF18aaoxrup,58946.759,ZTF18aaoxrup_VLASS3.1,59985.0,VLASS3.1,0.28,0.113,1038.2410000000018,SN Ia,0.06,upper_limit,2.5856827824059456e+28,0.0,2.844495890410964
ZTF18aaphzut,58235.549,ZTF18aaphzut_VLASS1.2v2,58604.0,VLASS1.2v,0.46,0.166,368.451000000001,SN Ia,0.086,upper_limit,9.045237764169048e+28,7.647443422603627e+27,1.0094547945205508
ZTF18aaphzut,58235.549,ZTF18aaphzut_VLASS2.2,59504.0,VLASS2.2,0.273,0.124,1268.451000000001,SN Ia,0.086,upper_limit,5.368151977430762e+28,0.0,3.475208219178085
ZTF18aapictz,58244.569,ZTF18aapictz_VLASS1.2v2,58585.0,VLASS1.2v,0.413,0.179,340.43099999999686,SN Ia-91T,0.09,upper_limit,8.942137882217931e+28,7.8270811043211e+27,0.9326876712328681
ZTF18aapictz,58244.569,ZTF18aapictz_VLASS2.2,59527.0,VLASS2.2,0.244,0.107,1282.4309999999969,SN Ia-91T,0.09,upper_limit,5.283006400148124e+28,0.0,3.5135095890410875
ZTF18aaqcqvr,58247.659,ZTF18aaqcqvr_VLASS1.2v2,58588.0,VLASS1.2v,0.351,0.141,340.34100000000035,SN Ia,0.07,upper_limit,4.473714129913181e+28,7.827654921440993e+27,0.9324410958904119
ZTF18aaqcqvr,58247.659,ZTF18aaqcqvr_VLASS2.2,59545.0,VLASS2.2,0.286,0.113,1297.3410000000003,SN Ia,0.07,upper_limit,3.6452485502996285e+28,0.0,3.55435890410959
ZTF18aaqcugm,58245.609,ZTF18aaqcugm_VLASS2.1,59063.0,VLASS2.1,0.388,0.166,817.390999999996,SN Ia,0.06,upper_limit,3.5830175699053813e+28,5.196005663424578e+27,2.239427397260263
ZTF18aaqcugm,58245.609,ZTF18aaqcugm_VLASS3.1,59984.0,VLASS3.1,0.209,0.079,1738.390999999996,SN Ia,0.06,upper_limit,1.9300275054387232e+28,0.0,4.76271506849314
ZTF18aaqedfj,58232.649,ZTF18aaqedfj_VLASS2.1,59098.0,VLASS2.1,0.479,0.146,865.3510000000024,SN Ia,0.0623,upper_limit,4.7843801962364285e+28,5.006637588605478e+27,2.370824657534253
ZTF18aaqedfj,58232.649,ZTF18aaqedfj_VLASS3.1,60004.0,VLASS3.1,0.284,0.125,1771.3510000000024,SN Ia,0.0623,upper_limit,2.8366680077894475e+28,0.0,4.853016438356171
ZTF18aaqehoc,58245.659,ZTF18aaqehoc_VLASS1.2v2,58570.0,VLASS1.2v,0.287,0.121,324.34100000000035,SN Ia,0.0622,upper_limit,2.8570378814183103e+28,7.92748273017095e+27,0.8886054794520557
