name,visual_obs_date,name_epoch,vlass_obs_date,epoch,days_diff,type
ZTF18abtrknw,58357.779,ZTF18abtrknw_VLASS2.1,59078.0,VLASS2.1,720.2209999999977,SN II
ZTF18abtrknw,58357.779,ZTF18abtrknw_VLASS3.1,59972.0,VLASS3.1,1614.2209999999975,SN II
ZTF18abtrvkm,58357.789,ZTF18abtrvkm_VLASS1.2v2,58587.0,VLASS1.2v,229.2109999999957,SN Ia
ZTF18abtrvkm,58357.789,ZTF18abtrvkm_VLASS2.2,59511.0,VLASS2.2,1153.2109999999957,SN Ia
ZTF18abtswjk,58387.779,ZTF18abtswjk_VLASS1.1v2,58087.0,VLASS1.1v,-300.77900000000227,SN IIn
ZTF18abtswjk,58387.779,ZTF18abtswjk_VLASS2.1,59118.0,VLASS2.1,730.2209999999977,SN IIn
ZTF18abtswjk,58387.779,ZTF18abtswjk_VLASS3.1,60010.0,VLASS3.1,1622.2209999999975,SN IIn
ZTF18abtvgxv,58367.649,ZTF18abtvgxv_VLASS1.2v2,58670.0,VLASS1.2v,302.3510000000024,SN Ia
ZTF18abtvgxv,58367.649,ZTF18abtvgxv_VLASS2.2,59614.0,VLASS2.2,1246.3510000000024,SN Ia
ZTF18abtvhef,58367.589,ZTF18abtvhef_VLASS1.2v2,58673.0,VLASS1.2v,305.41100000000006,SN Ia
ZTF18abtvhef,58367.589,ZTF18abtvhef_VLASS2.2,59629.0,VLASS2.2,1261.411,SN Ia
ZTF18abtvstb,58358.649,ZTF18abtvstb_VLASS1.1v2,58167.0,VLASS1.1v,-191.6489999999976,SN IIb
ZTF18abtvstb,58358.649,ZTF18abtvstb_VLASS2.1,59153.0,VLASS2.1,794.3510000000024,SN IIb
ZTF18abtvstb,58358.649,ZTF18abtvstb_VLASS3.1,60108.0,VLASS3.1,1749.3510000000024,SN IIb
ZTF18abtxvhy,58370.729,ZTF18abtxvhy_VLASS1.1v2,58070.0,VLASS1.1v,-300.72899999999936,SN Ia
ZTF18abtxvhy,58370.729,ZTF18abtxvhy_VLASS2.1,59092.0,VLASS2.1,721.2710000000006,SN Ia
ZTF18abtxvhy,58370.729,ZTF18abtxvhy_VLASS3.1,60058.0,VLASS3.1,1687.2710000000006,SN Ia
ZTF18abtzzka,58358.829,ZTF18abtzzka_VLASS1.2v2,58612.0,VLASS1.2v,253.1710000000021,SN Ia-91T
ZTF18abtzzka,58358.829,ZTF18abtzzka_VLASS2.2,59537.0,VLASS2.2,1178.171000000002,SN Ia-91T
ZTF18abuatfp,58367.519,ZTF18abuatfp_VLASS1.1v2,58076.0,VLASS1.1v,-291.51900000000023,SN Ia-CSM
ZTF18abuatfp,58367.519,ZTF18abuatfp_VLASS2.1,59063.0,VLASS2.1,695.4809999999998,SN Ia-CSM
ZTF18abuatfp,58367.519,ZTF18abuatfp_VLASS3.1,59984.0,VLASS3.1,1616.4809999999998,SN Ia-CSM
ZTF18abucvbf,58372.569,ZTF18abucvbf_VLASS1.1v2,58030.0,VLASS1.1v,-342.56900000000314,SN Ia
ZTF18abucvbf,58372.569,ZTF18abucvbf_VLASS2.1,59074.0,VLASS2.1,701.4309999999969,SN Ia
ZTF18abucvbf,58372.569,ZTF18abucvbf_VLASS3.1,60007.0,VLASS3.1,1634.4309999999969,SN Ia
ZTF18abucxcj,58375.499,ZTF18abucxcj_VLASS1.1v2,58040.0,VLASS1.1v,-335.49900000000343,SN IIn
ZTF18abucxcj,58375.499,ZTF18abucxcj_VLASS2.1,59108.0,VLASS2.1,732.5009999999966,SN IIn
ZTF18abucxcj,58375.499,ZTF18abucxcj_VLASS3.1,60001.0,VLASS3.1,1625.5009999999966,SN IIn
ZTF18abugthp,58697.879,ZTF18abugthp_VLASS1.1v2,58068.0,VLASS1.1v,-629.8790000000008,SN Ia
ZTF18abugthp,58697.879,ZTF18abugthp_VLASS2.1,59143.0,VLASS2.1,445.1209999999992,SN Ia
ZTF18abugthp,58697.879,ZTF18abugthp_VLASS3.1,60020.0,VLASS3.1,1322.1209999999992,SN Ia
ZTF18abuhyjv,58375.829,ZTF18abuhyjv_VLASS1.1v2,58087.0,VLASS1.1v,-288.8289999999979,SN Ia
ZTF18abuhyjv,58375.829,ZTF18abuhyjv_VLASS2.1,59118.0,VLASS2.1,742.1710000000021,SN Ia
ZTF18abuhyjv,58375.829,ZTF18abuhyjv_VLASS3.1,60010.0,VLASS3.1,1634.171000000002,SN Ia
ZTF18abuhzfc,58372.709,ZTF18abuhzfc_VLASS1.1v2,58079.0,VLASS1.1v,-293.70900000000256,SN Ia
ZTF18abuhzfc,58372.709,ZTF18abuhzfc_VLASS2.1,59105.0,VLASS2.1,732.2909999999974,SN Ia
ZTF18abuhzfc,58372.709,ZTF18abuhzfc_VLASS3.1,60076.0,VLASS3.1,1703.2909999999974,SN Ia
ZTF18abuicad,58415.609,ZTF18abuicad_VLASS1.1v2,58042.0,VLASS1.1v,-373.609000000004,SLSN-II
ZTF18abuicad,58415.609,ZTF18abuicad_VLASS2.1,59092.0,VLASS2.1,676.390999999996,SLSN-II
ZTF18abuicad,58415.609,ZTF18abuicad_VLASS3.1,60022.0,VLASS3.1,1606.390999999996,SLSN-II
ZTF18abujbio,58372.899,ZTF18abujbio_VLASS1.2v2,58619.0,VLASS1.2v,246.1010000000024,SN Ia
ZTF18abujbio,58372.899,ZTF18abujbio_VLASS2.2,59542.0,VLASS2.2,1169.1010000000024,SN Ia
ZTF18abujnlz,58359.899,ZTF18abujnlz_VLASS1.2v2,58585.0,VLASS1.2v,225.1010000000024,SN Ia
ZTF18abujnlz,58359.899,ZTF18abujnlz_VLASS2.2,59497.0,VLASS2.2,1137.1010000000024,SN Ia
ZTF18abukavn,58364.579,ZTF18abukavn_VLASS1.2v2,58607.0,VLASS1.2v,242.4210000000021,SN Ic-BL
ZTF18abukavn,58364.579,ZTF18abukavn_VLASS2.2,59532.0,VLASS2.2,1167.421000000002,SN Ic-BL
ZTF18abulkrl,58374.559,ZTF18abulkrl_VLASS1.2v2,58601.0,VLASS1.2v,226.4409999999989,SN Ia
ZTF18abulkrl,58374.559,ZTF18abulkrl_VLASS2.2,59492.0,VLASS2.2,1117.440999999999,SN Ia
ZTF18abuncpe,58374.689,ZTF18abuncpe_VLASS1.2v2,58599.0,VLASS1.2v,224.3110000000015,SN Ia
ZTF18abuncpe,58374.689,ZTF18abuncpe_VLASS2.2,59499.0,VLASS2.2,1124.3110000000015,SN Ia
ZTF18abupgps,58438.649,ZTF18abupgps_VLASS1.1v2,58100.0,VLASS1.1v,-338.6489999999976,SN Ia-91T
ZTF18abupgps,58438.649,ZTF18abupgps_VLASS2.1,59138.0,VLASS2.1,699.3510000000024,SN Ia-91T
ZTF18abupgps,58438.649,ZTF18abupgps_VLASS3.1,60028.0,VLASS3.1,1589.3510000000024,SN Ia-91T
ZTF18abupgql,58375.749,ZTF18abupgql_VLASS1.1v2,58102.0,VLASS1.1v,-273.74900000000343,SN Ia
ZTF18abupgql,58375.749,ZTF18abupgql_VLASS2.1,59066.0,VLASS2.1,690.2509999999966,SN Ia
ZTF18abupgql,58375.749,ZTF18abupgql_VLASS3.1,59965.0,VLASS3.1,1589.2509999999966,SN Ia
ZTF18abupiap,58365.859,ZTF18abupiap_VLASS1.2v2,58601.0,VLASS1.2v,235.140999999996,SN Ia
ZTF18abupiap,58365.859,ZTF18abupiap_VLASS2.2,59623.0,VLASS2.2,1257.140999999996,SN Ia
ZTF18abuqhje,58360.879,ZTF18abuqhje_VLASS1.1v2,58044.0,VLASS1.1v,-316.8790000000008,SN II
ZTF18abuqhje,58360.879,ZTF18abuqhje_VLASS2.1,59113.0,VLASS2.1,752.1209999999992,SN II
ZTF18abuqhje,58360.879,ZTF18abuqhje_VLASS3.1,59969.0,VLASS3.1,1608.1209999999992,SN II
ZTF18abuqugw,58375.499,ZTF18abuqugw_VLASS1.1v2,58040.0,VLASS1.1v,-335.49900000000343,SN Ia
ZTF18abuqugw,58375.499,ZTF18abuqugw_VLASS2.1,59108.0,VLASS2.1,732.5009999999966,SN Ia
ZTF18abuqugw,58375.499,ZTF18abuqugw_VLASS3.1,60001.0,VLASS3.1,1625.5009999999966,SN Ia
ZTF18abuxjrd,58376.789,ZTF18abuxjrd_VLASS1.1v2,58033.0,VLASS1.1v,-343.7890000000043,SN Ia
